# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au referencia
# Date:	 	05/19/2019 23:34:43
# Scanner Center Position (X, Y):	[µm]	49.79	50.07	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,595.092	 	 
# Tip Amplitude:	[mV]	18.700	 	 
# Tapping Amplitude:	[nm]	88.575	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	70.46	 	 
# Regulator (P, I, D):	 	1.654753	8.971036	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	37	90.696496964825	6.14335	-0.2585841	0.5645821	1.360325	0.1156334	0.4902287	0.1447871	-2.645152	0.3827658	0.1815907	0.003444581	0.308764	
0	0	38	93.14775363955	12.04593	-1.560745	0.4647877	0.5485342	0.09592834	0.03992149	0.1653646	2.803053	0.2678424	-1.242945	0.003940935	-0.724896	
0	0	39	95.599010314275	16.35774	-2.476904	0.1661567	0.005238852	0.06961517	-0.6758869	0.1651262	1.898385	0.2544066	-3.046779	0.00361537	-1.625909	
0	0	40	98.050266989	17.59646	3.039465	0.3357914	1.424975	0.02415787	-1.975902	0.1519366	0.9527449	0.3795505	1.702947	0.002330611	-2.393167	
0	0	41	100.501523663725	16.46724	2.426209	0.843125	0.6231164	0.04872253	1.39642	0.1350736	0.01753055	0.5282252	0.4919029	0.000720204	-2.196303	
0	0	42	102.95278033845	15.4205	1.98961	1.283813	-0.3302487	0.1049254	0.3099767	0.1203918	-0.8186096	0.6305956	-0.6069983	0.002245785	-1.584612	
0	0	43	105.404037013175	16.68957	1.597751	1.564784	-1.347101	0.137596	-0.6585323	0.1137392	-1.478103	0.6558295	-1.680053	0.00402142	-2.281336	
0	0	44	107.8552936879	19.256	1.080443	1.657377	-2.429619	0.1343126	-1.627565	0.1242794	-2.018882	0.5997795	-2.780253	0.004809164	-3.083389	
0	0	45	110.306550362625	20.74923	0.456052	1.606793	2.687945	0.0947035	-2.65192	0.1501218	-2.612671	0.4888667	2.306344	0.004278846	2.366578	
0	0	46	112.75780703735	20.11346	-0.1958629	1.516032	1.428876	0.03410338	2.158872	0.1733111	2.969668	0.3889247	0.9128488	0.002494382	1.494841	
0	0	47	115.209063712075	17.93704	-0.80222	1.488138	0.1086463	0.05775604	-0.7023547	0.1749132	2.190608	0.3824978	-0.6160745	0.0002717533	-1.39134	
0	0	48	117.6603203868	16.03123	-1.319938	1.547382	-1.198316	0.1194958	-1.877269	0.144449	1.346355	0.4514918	-1.981086	0.002984731	3.128487	
0	0	49	120.111577061525	15.98461	-1.823278	1.634756	-2.441891	0.1538252	-2.882952	0.08370041	0.3619297	0.5065287	3.11792	0.005326072	2.251152	
0	0	50	122.56283373625	17.15189	-2.454674	1.673695	2.667254	0.1491374	2.41118	0.03295497	-1.879677	0.5003639	2.002381	0.006652193	1.392088	
0	0	51	125.014090410975	17.58144	3.036742	1.604166	1.555734	0.1062789	1.371388	0.1027856	2.573123	0.4330603	0.8613346	0.006707185	0.5265469	
0	0	52	127.4653470857	16.00629	2.101734	1.384019	0.5028496	0.04229024	-0.09646355	0.1762764	1.622683	0.3438178	-0.4150765	0.005562731	-0.3691134	
0	0	53	129.916603760425	12.43576	0.9792088	0.994661	-0.4873572	0.06292964	-2.837602	0.2229807	0.7732284	0.3060147	-1.885396	0.003602454	-1.372764	
0	0	54	132.36786043515	9.11541	-0.5449609	0.4557781	-1.360683	0.1321095	2.225575	0.2353989	-0.03697633	0.354303	2.993482	0.001780244	-2.922882	
0	0	55	134.819117109875	11.3728	-2.313389	0.2040702	0.2595923	0.1773465	1.208563	0.2154492	-0.8144644	0.4268129	1.816305	0.002572034	1.34169	
0	0	56	137.2703737846	17.90888	2.638561	0.826938	-0.3321245	0.1856922	0.2121175	0.1718357	-1.54616	0.4660567	0.7695582	0.004464318	0.2252766	
0	0	57	139.721630459325	24.12807	1.541291	1.356488	-1.170161	0.1564545	-0.8232809	0.117069	-2.18117	0.4511092	-0.233842	0.005944098	-0.6585089	
0	0	58	142.17288713405	27.66425	0.5219898	1.692047	-2.014532	0.1007752	-2.0209	0.06854385	-2.52274	0.3850401	-1.256838	0.006758615	-1.474374	
0	0	59	144.624143808775	27.32852	-0.4788205	1.77691	-2.854345	0.05817074	2.358859	0.06173032	-2.377101	0.2891088	-2.380375	0.006874029	-2.260014	
0	0	60	147.0754004835	23.01836	-1.512259	1.600452	2.588353	0.1013839	0.3914677	0.09745	-2.694243	0.205122	2.538105	0.00633727	-3.02736	
0	0	61	149.526657158225	16.16702	-2.696944	1.199931	1.730322	0.1695082	-0.8808478	0.1388724	2.873624	0.1861235	0.9413759	0.005248928	2.507088	
0	0	62	151.97791383295	11.75896	1.955975	0.6587117	0.7884747	0.2301858	-2.014866	0.1763951	1.992515	0.2153337	-0.4967241	0.003772989	1.794813	
0	0	63	154.429170507675	16.38201	0.3251604	0.1833268	-1.100719	0.281356	-3.120569	0.2103647	1.011716	0.2327918	-1.786592	0.002165232	1.195591	
0	0	64	156.8804271824	24.41061	-0.8071773	0.507071	2.931217	0.3251584	2.075324	0.2442378	-0.03499474	0.2269015	-3.125158	0.0009296045	1.145414	
0	0	65	159.331683857125	30.74792	-1.731589	0.8251095	1.970987	0.3593584	1.018101	0.2811495	-1.114633	0.2349053	1.684015	0.001120651	1.641301	
0	0	66	161.78294053185	33.78242	-2.563478	0.9060318	1.139779	0.375316	-0.000792789	0.3201936	-2.196207	0.2923069	0.2595028	0.001547858	1.282713	
0	0	67	164.234197206575	33.282	2.948562	0.7463216	0.4079748	0.3624423	-0.9823053	0.3544755	3.02362	0.3701687	-0.9775489	0.001442484	0.8726862	
0	0	68	166.6854538813	29.83034	2.232569	0.45804	-0.009297647	0.3146392	-1.932439	0.3724275	1.985454	0.4179721	-2.096451	0.001262126	0.9111091	
0	0	69	169.136710556025	24.5351	1.58044	0.4422572	0.2386765	0.2346482	-2.856916	0.3614971	0.970149	0.4039794	3.104179	0.002131183	0.9237489	
0	0	70	171.58796723075	18.77999	1.012947	0.7785247	-0.1468767	0.1347741	2.529901	0.3127294	-0.03107131	0.3229537	1.978556	0.003605858	0.4214674	
0	0	71	174.039223905475	13.88159	0.5482027	1.065652	-0.939292	0.0343298	1.775681	0.2249983	-1.039001	0.2046796	0.6214427	0.004957285	-0.2584149	
0	0	72	176.4904805802	10.34854	0.1511879	1.183076	-1.878297	0.04906625	-2.647269	0.1084462	-2.151672	0.1623363	-1.36715	0.005787122	-0.9924685	
0	0	73	178.941737254925	7.18973	-0.2618432	1.133733	-2.927395	0.09690396	2.772763	0.04356008	1.208932	0.2675871	-3.02938	0.00591567	-1.737499	
0	0	74	181.39299392965	2.942679	-0.5398346	0.9939518	2.181853	0.1062531	1.789774	0.1531329	-0.3653808	0.3822832	2.027674	0.005379033	-2.46837	
0	0	75	183.844250604375	4.135376	1.082592	0.8724545	0.8829504	0.08627122	0.6333827	0.2380425	-1.382572	0.4517901	0.8963646	0.004395983	3.121683	
0	0	76	186.2955072791	12.04238	0.5611781	0.8264118	-0.4538145	0.06756792	-0.9210969	0.2723444	-2.353285	0.4724562	-0.2375228	0.003278478	2.491498	
0	0	77	188.746763953825	20.46984	-0.198079	0.8063169	-1.722536	0.08652373	-2.527639	0.2505992	2.949355	0.462586	-1.406993	0.002292714	1.937421	
0	0	78	191.19802062855	27.86424	-1.035302	0.7344291	-2.915339	0.1182796	2.553338	0.1825671	1.897707	0.4456177	-2.607625	0.001512446	1.431658	
0	0	79	193.649277303275	33.05164	-1.927867	0.581363	2.196992	0.1343749	1.517585	0.09779209	0.5285804	0.4319085	2.477987	0.0008164	0.9454367	
0	0	80	196.100533978	35.53343	-2.870138	0.372441	0.9303759	0.1279474	0.4927078	0.08721073	-1.656007	0.4140524	1.312355	0.0001756804	1.28751	
0	0	81	198.551790652725	35.54877	2.42476	0.2115785	-0.850347	0.1059751	-0.6517131	0.1567901	-3.117146	0.3809792	0.174648	0.0006678154	2.272318	
0	0	82	201.00304732745	33.74738	1.399716	0.2979472	-2.825757	0.0914868	-2.068248	0.2121862	2.075552	0.3318986	-0.9655834	0.00116762	1.638903	
0	0	83	203.454304002175	30.6165	0.3559144	0.4749521	2.194264	0.1121702	2.736016	0.2362307	1.049665	0.2785426	-2.147232	0.001284385	0.9408915	
0	0	84	205.9055606769	26.11903	-0.6859499	0.617682	1.154758	0.1548966	1.504243	0.2344309	0.0137082	0.2375135	2.896974	0.0009438718	0.3987419	
0	0	85	208.356817351625	19.92015	-1.715387	0.7092093	0.1744013	0.1926073	0.3953652	0.2214873	-1.064779	0.2155215	1.646382	0.0006989247	0.7900898	
0	0	86	210.80807402635	11.97487	-2.750667	0.7541005	-0.8137982	0.2113655	-0.7224768	0.2133969	-2.186839	0.2013754	0.4458722	0.00173389	0.7418939	
0	0	87	213.259330701075	3.108281	2.185756	0.7627987	-1.856099	0.212729	-1.933892	0.2189758	2.966145	0.1792139	-0.711952	0.003137253	0.06392593	
0	0	88	215.7105873758	6.666333	-1.154767	0.7516093	-2.978889	0.2155842	3.008788	0.236562	1.859882	0.1437596	-1.901464	0.004375171	-0.7268761	
0	0	89	218.161844050525	14.44132	-2.219476	0.7356308	2.11017	0.2396751	1.621512	0.2598158	0.7702746	0.1051349	3.027872	0.005118467	-1.54267	
0	0	90	220.61310072525	19.91662	3.087647	0.7014747	0.8820026	0.2758341	0.2907981	0.2846387	-0.3292464	0.08590235	1.417174	0.005164919	-2.352558	
0	0	91	223.064357399975	22.66152	2.107553	0.5962097	-0.3760273	0.29807	-1.010041	0.3111652	-1.453644	0.09003281	-0.1901849	0.004493241	-3.130684	
0	0	92	225.5156140747	23.14494	1.092659	0.3792179	-1.839233	0.299357	-2.379656	0.34023	-2.595337	0.0952807	-1.738404	0.003292919	2.452619	
0	0	93	227.966870749425	22.55644	0.0279134	0.3225264	1.953468	0.3137942	2.399864	0.3669927	2.545894	0.1124251	2.868594	0.0019716	1.964385	
0	0	94	230.41812742415	22.1759	-1.068171	0.830714	0.1966463	0.3898572	0.89332	0.379418	1.406878	0.1755172	1.331369	0.00123925	1.99926	
0	0	95	232.869384098875	22.34441	-2.140209	1.502211	-1.060122	0.5153379	-0.4639673	0.36568	0.2477745	0.2709087	0.07953975	0.001442508	2.059121	
0	0	96	235.3206407736	22.11346	3.140772	2.17414	-2.239105	0.6372958	-1.709143	0.3268187	-0.9850267	0.3610434	-1.03122	0.00171426	1.798542	
0	0	97	237.771897448325	20.1048	2.220102	2.752499	2.871005	0.7149733	-2.916567	0.2895004	-2.36083	0.4134925	-2.09837	0.001980593	1.545976	
0	0	98	240.22315412305	15.48826	1.391926	3.182045	1.682952	0.7354574	2.144785	0.2973592	2.454462	0.4109254	3.099804	0.002627777	1.219191	
0	0	99	242.674410797775	8.624638	0.7738925	3.436515	0.4727824	0.7139298	0.8754182	0.3497954	1.104624	0.3611829	1.929125	0.003533554	0.6766431	
0	0	100	245.1256674725	4.696524	1.321594	3.503512	-0.7651334	0.6810706	-0.4501444	0.3953538	-0.08126054	0.3057916	0.5908877	0.004243748	-0.02570529	
0	0	101	247.576924147225	11.39663	1.315304	3.394238	-2.044374	0.6582129	-1.809322	0.390522	-1.170314	0.3011934	-0.8597053	0.004431117	-0.8213332	
0	0	102	250.02818082195	17.69355	0.6618719	3.18958	2.894995	0.6422898	3.110022	0.3182716	-2.217747	0.3387694	-2.179168	0.004018772	-1.679596	
0	0	103	252.479437496675	20.35526	-0.05730413	3.066103	1.479785	0.6219776	1.743784	0.1866001	3.002711	0.3533622	2.953744	0.003173799	-2.59173	
0	0	104	254.9306941714	18.81038	-0.7271334	3.171948	0.05145415	0.600419	0.3631038	0.03280712	1.191258	0.3026667	1.883166	0.002222494	2.729578	
0	0	105	257.381950846125	14.83771	-1.207815	3.416047	-1.307962	0.5902235	-1.019794	0.1474237	-1.78001	0.1823733	0.7726931	0.001499747	1.772874	
0	0	106	259.83320752085	13.75069	-1.393197	3.534158	-2.585799	0.5872623	-2.365274	0.2724164	-2.849243	0.05691702	-1.464694	0.001228577	1.013666	
0	0	107	262.284464195575	18.45278	-1.766472	3.328572	2.461273	0.5647202	2.631413	0.3370731	2.424077	0.1993019	2.640365	0.001591409	0.4215829	
0	0	108	264.7357208703	24.06084	-2.503542	2.787262	1.211372	0.497915	1.386956	0.3332792	1.422085	0.3576725	1.587727	0.002504734	-0.3117886	
0	0	109	267.186977545025	27.63064	2.818738	2.084625	-0.1220476	0.3858488	0.1414691	0.2699204	0.4171255	0.459722	0.6292824	0.003577108	-1.161475	
0	0	110	269.63823421975	30.04083	1.69398	1.490256	-1.605954	0.2535983	-1.178855	0.1678018	-0.5941595	0.4881847	-0.3107979	0.004390288	-2.061338	
