# www.neaspec.com
# Scan:	 	Fourier Scan
# Project:	 	Raul_May_2019
# Description:	 	Au_10cm-1_1024px_CEN_600cm-1
# Date:	 	05/18/2019 15:12:53
# Scanner Center Position (X, Y):	[µm]	49.76	49.71	 
# Rotation:	[°]	0	 	 
# Scan Area (X, Y, Z):	[µm]	0.000	0.000	0.000
# Pixel Area (X, Y, Z):	[px]	1	1	1024
# Interferometer Center/Distance:	[µm]	600.000	500.000	 
# Averaging:	 	40	 	 
# Integration time:	[ms]	20	 	 
# Laser Source:	 	Synchrotron
# Target Wavelength:	[µm]		 	 
# Demodulation Mode:	 	Fourier
# Tip Frequency:	[Hz]	237,581.187	 	 
# Tip Amplitude:	[mV]	22.000	 	 
# Tapping Amplitude:	[nm]	92.004	 	 
# Modulation Frequency:	[Hz]	0.000	 	 
# Modulation Amplitude:	[mV]	0.000	 	 
# Modulation Offset:	[mV]	0.000	 	 
# Setpoint:	[%]	73.54	 	 
# Regulator (P, I, D):	 	3.507821	9.892523	1.000000
# Tip Potential:	[mV]	0.000	 	 
# M1A Scaling:	[nm/V]	4.978	 	 
# Version:	 	1.8.4702.0
Row	Column	Omega	Wavenumber	O0A	O0P	O1A	O1P	O2A	O2P	O3A	O3P	O4A	O4P	O5A	O5P	
0	0	50	122.56283373625	5.080314	-0.5270366	0.4483748	-2.843611	0.1572464	2.088072	0.1630152	0.3462647	0.3495078	1.917959	0.001031434	2.102717	
0	0	51	125.014090410975	6.173268	0.8235661	0.09967694	0.4234274	0.1620399	0.8806908	0.150989	-0.4995907	0.2783047	0.4905561	0.001425648	0.476074	
0	0	52	127.4653470857	13.00127	0.08940637	0.5525838	-1.381218	0.1640805	-0.318746	0.1223602	-1.416552	0.2836083	-1.107913	0.001963851	-0.8698738	
0	0	53	129.916603760425	15.13085	-0.8479912	0.9018556	-2.479792	0.1579796	-1.524482	0.07914259	-2.47097	0.3600078	-2.511936	0.00246864	-2.110143	
0	0	54	132.36786043515	12.41788	-1.897373	1.055236	2.672941	0.1446459	-2.776645	0.03484532	2.178577	0.4314636	2.564854	0.002871637	2.971107	
0	0	55	134.819117109875	6.932496	3.02923	1.066833	1.424202	0.1315833	2.180265	0.05336345	-0.2670329	0.4572661	1.423765	0.003127145	1.778483	
0	0	56	137.2703737846	5.356767	0.7070314	1.108011	0.05155346	0.1255761	0.8102867	0.1051764	-1.622182	0.4355631	0.2620904	0.003221589	0.5752116	
0	0	57	139.721630459325	9.993388	-0.9911609	1.285409	-1.286672	0.1241872	-0.5431368	0.1532877	-2.787713	0.393317	-0.9810387	0.003186542	-0.6513421	
0	0	58	142.17288713405	14.05695	-2.329784	1.474737	-2.486738	0.1204122	-1.885517	0.1918294	2.363919	0.3722585	-2.310199	0.003070068	-1.901635	
0	0	59	144.624143808775	17.63917	2.636669	1.491168	2.685683	0.1147031	2.999773	0.2155263	1.245295	0.3920541	2.662215	0.002882794	3.114111	
0	0	60	147.0754004835	21.94646	1.379707	1.244273	1.572652	0.1185984	1.528093	0.2171287	0.1264919	0.4282194	1.459931	0.002595547	1.819379	
0	0	61	149.526657158225	26.01265	0.2500553	0.8014298	0.2567706	0.140611	0.1091683	0.1914749	-1.030826	0.4464833	0.3548787	0.002237751	0.4433903	
0	0	62	151.97791383295	27.33686	-0.7445158	0.6378179	-1.747456	0.1718299	-1.169965	0.1452274	-2.341883	0.4298618	-0.6931775	0.002043244	-1.081043	
0	0	63	154.429170507675	24.27163	-1.585423	1.146465	2.92847	0.1971897	-2.347312	0.118194	2.252524	0.3789166	-1.715062	0.002336184	-2.624708	
0	0	64	156.8804271824	18.35604	-2.137358	1.696456	1.813197	0.2064146	2.804798	0.1611498	0.5897576	0.3049378	-2.731639	0.003005509	2.311563	
0	0	65	159.331683857125	17.89905	-2.259968	1.993338	0.8212146	0.1955823	1.679924	0.2302425	-0.6663607	0.2231242	2.524849	0.003668296	1.137584	
0	0	66	161.78294053185	27.58992	-2.63926	1.939404	-0.1397125	0.1659757	0.5271225	0.2757617	-1.741001	0.1471849	1.475296	0.004060524	0.05954671	
0	0	67	164.234197206575	38.93061	2.919524	1.546049	-1.117736	0.1226239	-0.7076428	0.2755257	-2.748352	0.08621346	0.3917786	0.004081873	-0.9649327	
0	0	68	166.6854538813	46.35385	2.057978	0.9267842	-2.214205	0.07622517	-2.198391	0.2250183	2.545901	0.04422862	-0.7309759	0.003765855	-1.953018	
0	0	69	169.136710556025	47.76804	1.125069	0.4118956	2.23146	0.06370015	1.987328	0.1345638	1.517162	0.02174907	-1.825236	0.003236578	-2.903883	
0	0	70	171.58796723075	43.29794	0.1325032	0.7266788	0.1536622	0.1106747	0.2376657	0.03347453	-0.1677559	0.0188609	-2.603535	0.002656699	2.485664	
0	0	71	174.039223905475	34.66153	-0.9348491	1.128438	-0.996408	0.1727154	-1.068248	0.09391221	-2.997787	0.03738135	2.877708	0.002187828	1.686411	
0	0	72	176.4904805802	24.52338	-2.129284	1.245786	-1.994688	0.2274973	-2.242433	0.1774033	2.204631	0.0743162	1.925718	0.001968586	0.9979443	
0	0	73	178.941737254925	16.32159	2.702086	1.042695	-2.983954	0.2628399	2.910326	0.2261675	1.217943	0.1231201	0.9648537	0.002053338	0.3533708	
0	0	74	181.39299392965	14.39785	0.9638345	0.595265	2.191058	0.2706342	1.785168	0.2372892	0.2368461	0.1727756	0.02312869	0.002348247	-0.3283592	
0	0	75	183.844250604375	18.39069	-0.5722641	0.2434504	-0.1258686	0.2488994	0.6296752	0.2178517	-0.7633886	0.2088716	-0.8995474	0.002698174	-1.047474	
0	0	76	186.2955072791	23.52709	-1.823303	0.6819729	-2.031947	0.2050419	-0.6145117	0.1800219	-1.802143	0.2172495	-1.80913	0.002997902	-1.769303	
0	0	77	188.746763953825	27.54354	-2.927455	1.094324	-3.103151	0.16098	-2.051827	0.136248	-2.907526	0.1886227	-2.717394	0.00322358	-2.469875	
0	0	78	191.19802062855	29.79138	2.337036	1.282727	2.190284	0.1533055	2.595815	0.09700625	2.142638	0.1226881	2.61835	0.003409753	3.135212	
0	0	79	193.649277303275	30.3705	1.377808	1.227547	1.195846	0.1889651	1.085798	0.0744764	0.6784149	0.03602275	1.13614	0.003582636	2.459094	
0	0	80	196.100533978	29.90373	0.4613653	0.9864035	0.1409719	0.2327974	-0.2126228	0.08310448	-0.8629589	0.08845804	-1.671549	0.003695256	1.757938	
0	0	81	198.551790652725	29.24134	-0.4290752	0.6837343	-1.089969	0.2594954	-1.410004	0.1171133	-2.126351	0.1855389	-2.653204	0.00363272	1.01477	
0	0	82	201.00304732745	29.06063	-1.311357	0.5283833	-2.664961	0.2601077	-2.581892	0.1611207	3.112238	0.258806	2.788362	0.00328121	0.2218816	
0	0	83	203.454304002175	29.55555	-2.198226	0.6501452	2.094131	0.2362937	2.500681	0.2047237	2.166202	0.2982571	1.987465	0.002600368	-0.6370556	
0	0	84	205.9055606769	30.34818	-3.092179	0.8672022	0.9112841	0.199265	1.204428	0.2383014	1.256357	0.3049994	1.199322	0.00167966	-1.641935	
0	0	85	208.356817351625	30.60882	2.293582	1.060677	-0.1239871	0.1730525	-0.26302	0.2521785	0.3490265	0.2877825	0.3906855	0.0009313683	3.086127	
0	0	86	210.80807402635	29.33475	1.393539	1.210228	-1.126065	0.1876979	-1.812021	0.2395468	-0.5801131	0.2595892	-0.4917966	0.00132271	1.247837	
0	0	87	213.259330701075	25.71202	0.481206	1.315005	-2.146435	0.2420108	3.079148	0.2004714	-1.559779	0.2388696	-1.504256	0.002156196	0.1598728	
0	0	88	215.7105873758	19.46183	-0.4792592	1.367986	3.073443	0.3088332	1.85443	0.1446623	-2.641789	0.2477237	-2.613179	0.002787207	-0.6855054	
0	0	89	218.161844050525	11.35778	-1.6429	1.352646	1.952331	0.3657474	0.7133539	0.09070922	2.357065	0.2863949	2.613825	0.003106292	-1.429474	
0	0	90	220.61310072525	7.430314	2.563176	1.254345	0.7489605	0.3979374	-0.4060187	0.05463285	0.790813	0.3218518	1.684699	0.003156821	-2.101308	
